N16,PLAZA DE CIBELES,AVENIDA DE LA PESETA;
N17,PLAZA DE CIBELES,CARABANCHEL ALTO;
N18,PLAZA DE CIBELES,ALUCHE;
N19,PLAZA DE CIBELES,COLONIA SAN IGNACIO DE LOYOLA;
N20,PLAZA DE CIBELES,BARRIO DE PEÑAGRANDE;
N21,PLAZA DE CIBELES,ARROYO DEL FRESNO;
N22,PLAZA DE CIBELES,BARRIO DEL PILAR;
N23,PLAZA DE CIBELES,MONTECARMELO;
N24,PLAZA DE CIBELES,LAS TABLAS;
N25,PLAZA DE ALONSO MARTINEZ,VILLA DE VALLECAS;
N26,PLAZA DE ALONSO MARTINEZ,ALUCHE;
N27,PLAZA DE CIBELES,AEROPUERTO;
M1,PUERTA DEL SOL/SEVILLA,GLORIETA DE EMBAJADORES;
M2,SEVILLA,ARGÜELLES;
SE661,BUS DE LA NAVIDAD,;
SE702,PLAZA ELIPTICA,CEMENTERIO SUR;
SE704,PLAZA DE CASTILLA,CEMENTERIO DE FUENCARRAL;
SE730,PRINCIPE PIO,PINAR DE SAN JOSE;
SE766,ATOCHA,POLIGONO INDUSTRIAL DE VALLECAS;
SE799,MAR DE CRISTAL,VALDEBEBAS;
